session_id,mouse_id,experience_level,cross_mouse_correlation,split_half_correlation,null_95th,above_null_95th
1043752325,506940,Familiar,0.9177015597,0.9877076977,0.9140947045,true
1046166369,527294,Familiar,0.7774339836,0.9841221645,0.7584986609,true
1047969464,509808,Familiar,0.7967763593,0.9918166872,0.8076553389,false
1052331749,524926,Familiar,0.8829313325,0.9929079174,0.8913170340,false
1059678195,536211,Familiar,0.9528166187,0.9898515915,0.9245130967,true
1061238668,536213,Familiar,0.9347268671,0.9849620418,0.9172888090,true
1062755416,542072,Familiar,0.9056148923,0.9930496536,0.8800063565,true
1064415305,536480,Familiar,0.8783079076,0.9872707103,0.8830719244,false
1070961372,544835,Familiar,0.7756516212,0.9878895904,0.8761890758,false
1072341440,546507,Familiar,0.8695109578,0.9893106612,0.8070706845,true
1051155866,524760,Novel,0.8416704601,0.9930396206,0.8463766575,false
1052533639,530862,Novel,0.9552392262,0.9958336074,0.9446289000,true
1055415082,533539,Novel,0.9251643925,0.9936557421,0.9105482352,true
1056720277,531237,Novel,0.8980073360,0.9927159438,0.8544720665,true
1067790400,546512,Novel,0.3792586722,0.9874700945,0.3643385272,true
1069458330,544837,Novel,0.9406410546,0.9868991546,0.9048299028,true
1069461581,545994,Novel,0.8835352310,0.9884315325,0.8806721642,true
1071300149,548465,Novel,0.9113493156,0.9926956765,0.8930536746,true
1072572100,540536,Novel,0.8001418725,0.9922657421,0.7893394301,true
1076487758,546503,Novel,0.9461468125,0.9874213889,0.9397792481,true
