session_id,mouse_id,allen_correlation,disconnected_correlation,transposed_correlation,median_permutation_correlation,allen_minus_median_permutation
1043752325,506940,0.5246283698,0.5265780060,0.5250287212,0.5257820494,-0.0011536796
1046166369,527294,0.5315985214,0.5226480141,0.5151887628,0.5139902020,0.0176083194
1047969464,509808,0.6866393570,0.6978964357,0.6867899288,0.6900369273,-0.0033975704
1052331749,524926,0.5938317517,0.6025818331,0.6038789301,0.6020311012,-0.0081993496
1059678195,536211,0.6282748921,0.6349249331,0.6389837449,0.6371465630,-0.0088716709
1061238668,536213,0.6652030207,0.6661720214,0.6583565072,0.6622768017,0.0029262190
1062755416,542072,0.5893836707,0.5912955027,0.6026350061,0.5930466154,-0.0036629448
1064415305,536480,0.5578127253,0.5570049721,0.5593455675,0.5584457641,-0.0006330388
1070961372,544835,0.5233813204,0.5196973673,0.5164372683,0.5279622722,-0.0045809518
1072341440,546507,0.3032788058,0.3129235282,0.3221106677,0.3105061276,-0.0072273218
1051155866,524760,0.7771499425,0.7880468732,0.7925266298,0.7778708250,-0.0007208825
1052533639,530862,0.5230094350,0.5198515834,0.5376026722,0.5374482987,-0.0144388637
1055415082,533539,0.3460643530,0.3355489703,0.3394183935,0.3473504669,-0.0012861139
1056720277,531237,0.3969359591,0.4014948728,0.4273245840,0.4064961756,-0.0095602165
1067790400,546512,-0.1786439961,-0.1734759342,-0.1417762682,-0.1538028810,-0.0248411151
1069458330,544837,0.5110660373,0.5149890404,0.5235851037,0.5145509883,-0.0034849509
1069461581,545994,0.4790965342,0.4650408410,0.4675958954,0.4700895826,0.0090069516
1071300149,548465,0.5968102440,0.5956643310,0.6186221419,0.6003938742,-0.0035836301
1072572100,540536,0.3328951909,0.3365014622,0.3464070983,0.3395103758,-0.0066151849
1076487758,546503,0.6016303765,0.5981712764,0.6064655917,0.6093290496,-0.0076986731
